Skill,Count,Percentage
Business Intelligence,1,100.0%
Dashboards,1,100.0%
Extract Transform Load,1,100.0%
Innovation,1,100.0%
Machine Learning,1,100.0%
Microsoft Sql Server,1,100.0%
Power BI,1,100.0%
Python,1,100.0%
Reporting,1,100.0%
Structured Query Language,1,100.0%
