Skill,Count,Percentage
Communication,1,33.3%
Customer Service,1,33.3%
Dashboards,1,33.3%
Data Analysis,1,33.3%
Documentation,1,33.3%
Excel,1,33.3%
Leadership,1,33.3%
Power BI,1,33.3%
Problem Solving,1,33.3%
Reporting,1,33.3%
Stakeholder Management,1,33.3%
Tableau,1,33.3%
Apache Spark,1,33.3%
Python,1,33.3%
SQL,1,33.3%
